FIPS,State,County,Unreliable,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low Birthweight,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Average Daily PM2.5,% Drive Alone to Work,% Long Commute - Drives Alone,Unnamed: 0,NatWalkInd,D4A,TotEmp,TotPop,D2A_JPHH,D5AR,CBSA_POP,CBSA_EMP,Pct_AO0,D4C,Pct_AO1,Pct_AO2p,D3APO,D3AAO,D4D
48095,Texas,Concho County,x,21.3,4.0846052851,4.9497729874,7.9545454545,37.5,6.8,30.3,66.242809567,6.6666666667,7.2,85.169029444,46.4,64,5.1111111110000005,,276.3333333333333,1411.0,1.3308008566666665,910.6666666666666,0.0,0.0,0.0562225186666666,,0.124089178,0.8196883036666667,1.964544876333333,0.2256383906666666,
48097,Texas,Cooke County,,16.0,3.561490466,5.0667782109,6.1497326203,35.6,7.5,24.4,52.771911299,25.641025641,8.9,78.689766643,33.1,66,6.5722222222,,489.53333333333336,1319.0333333333333,1.0623945410333333,9057.7,39571.0,14686.0,0.0629127667666666,,0.3193809565666666,0.6177062766333333,8.0717721425,0.8969141705,
48099,Texas,Coryell County,,17.7,3.7692759794,5.2897277112,8.6995117621,36.2,5.2,26.7,55.656914542,28.0,8.9,73.568724864,28.0,68,5.885416666729167,,405.1666666666667,1570.6041666666667,12.241245540125,10005.625,438265.0,119993.0,0.0389146773541666,,0.29414312575,0.5836088635833333,9.077176986458332,0.338479535625,
48103,Texas,Crane County,,18.7,3.5537099798,4.616307924,8.9820359281,37.0,8.3,28.6,94.07486631,15.384615385,7.1,82.83177109,42.6,70,8.5666666652,,217.4,967.8,0.9859604992,3124.8,0.0,0.0,0.0355782204,,0.2526390948,0.7117826848,16.2173151882,0.3515683758,
48105,Texas,Crockett County,,21.7,3.8771457424,4.7087835018,9.1194968553,38.5,7.6,32.9,90.316333118,10.714285714,7.2,79.655612245,32.1,71,8.2333333326,,219.0,726.6,0.7716322447999999,592.8,0.0,0.0,0.0357227868,,0.3204384428,0.6438387704,10.8056603898,1.236197278,
48107,Texas,Crosby County,,23.6,4.244569188,4.9359212823,9.3808630394,39.6,7.4,33.2,20.397428404,10.0,6.6,78.796928328,45.2,72,6.861111110833334,,183.0,976.8333333333334,0.5913628468333333,4416.666666666667,313123.0,152685.0,0.061375545,,0.3005740776666666,0.6380503773333334,5.503209214999999,0.2365165338333333,
48109,Texas,Culberson County,x,29.0,4.7081179975,4.7967444766,7.5471698113,44.6,6.4,39.2,94.28702011,28.571428571,5.3,96.734693878,29.5,73,5.54166666675,,182.75,560.25,1.49125149575,364.25,0.0,0.0,0.0607429575,,0.3945786,0.5446784425,0.3144897885,0.25409756625,
48111,Texas,Dallam County,,24.8,4.4899945681,5.0702358073,6.300630063,39.4,6.6,33.3,65.130007027,7.6923076923,5.2,74.309859155,16.5,74,7.6388888895,,667.0,1207.1666666666667,2.511819218,1780.1666666666667,0.0,0.0,0.0347137858333333,,0.3392925166666666,0.6259936973333333,10.819816971666668,0.5170156393333333,
48113,Texas,Dallas County,,18.6,3.5409276917,4.8598093206,8.5008850863,36.0,7.2,28.3,96.728076375,29.691689008,9.6,74.462217492,43.2,75,11.899340922704017,461.2638192862566,1023.9622528460156,1549.7615338526064,4.316073584269622,354524.45236668666,7189384.0,3545715.0,0.0688878860269622,7.326930909090909,0.3486981308609946,0.5800173384206111,16.307025470286998,1.886613436400839,37.46812358235564
48115,Texas,Dawson County,,26.6,4.6007493149,4.8192977372,10.579937304,42.0,5.3,36.1,68.537251124,7.6923076923,7.1,76.593195975,25.6,76,7.892857142928571,,304.92857142857144,926.0,1.221326535642857,1859.142857142857,12964.0,4269.0,0.0950463207142857,,0.3004991836428571,0.6044544955714286,14.353140005642857,0.3003054930714285,
